device_type,browser,traffic_source,scroll_depth,time_on_page,signed_up
tablet,firefox,email,94.10270826575747,35.26297908045029,0
mobile,safari,paid,56.96301042699973,220.8868483411462,0
tablet,safari,organic,50.13719345705198,17.66341989598972,0
tablet,edge,email,60.53856080126564,223.9776937661029,0
mobile,chrome,social,61.630764984669405,264.532925001181,0
mobile,edge,paid,17.03047049434958,130.44879148093378,0
tablet,safari,organic,68.64108816231303,127.01579458060074,0
desktop,edge,social,45.23511023484256,94.74235629014434,0
tablet,edge,organic,51.73819588480452,263.69679410560116,0
tablet,safari,paid,3.0316604335155484,166.59645819427413,0
tablet,firefox,organic,76.45566325310304,175.88168248721254,0
tablet,safari,email,83.54279612678818,200.2036803007366,0
mobile,firefox,organic,61.942155393454655,93.56812953104873,0
tablet,safari,paid,74.87236352966626,132.6719618483715,0
desktop,safari,email,52.27060031721019,223.77369985085815,0
mobile,safari,organic,61.83533789785556,295.71865571900065,0
desktop,chrome,organic,39.45716984632386,15.12013431903642,0
desktop,firefox,email,79.18742650625126,17.581306894237393,0
desktop,chrome,social,46.82709302644926,131.28433218496383,0
desktop,safari,social,68.02129044188825,199.58844126883594,1
mobile,edge,email,62.142937861950465,118.97756432641847,0
mobile,chrome,organic,70.23145183857497,299.8934029197279,0
desktop,firefox,social,78.52158751252233,62.630981135410075,0
desktop,safari,email,51.271348159299514,7.338010112191112,0
mobile,chrome,paid,81.30659492556687,61.08816188226689,0
mobile,edge,organic,49.7257237271609,266.6185006548838,1
mobile,chrome,paid,95.66343228639369,47.81895289619706,0
tablet,firefox,organic,75.26717486147942,146.29756019045902,0
tablet,chrome,social,17.114164974606418,128.6864733128272,0
tablet,edge,paid,82.95844713634312,201.38896978088303,0
desktop,edge,paid,55.15876608066341,21.10569799373862,0
tablet,firefox,email,98.44609579738653,199.33130046453667,0
desktop,edge,social,71.88190436735273,109.65173497478894,0
desktop,safari,social,8.439074657019107,278.18166992933715,0
tablet,edge,organic,39.49604276103488,255.42176222784224,1
desktop,safari,email,51.72754026732665,122.85434330088789,0
tablet,chrome,email,83.90136031598018,297.9030938377665,0
tablet,safari,organic,72.93455343297727,20.32340703359292,0
mobile,safari,paid,36.93600706116389,237.64650491893627,0
tablet,chrome,organic,65.3432687502629,132.98177458807197,0
mobile,edge,organic,57.69109078983793,132.82501765333768,0
tablet,safari,organic,12.605260895240688,55.189470452876094,0
tablet,edge,email,23.485869299860052,156.88957639181697,0
mobile,chrome,organic,34.11223127143144,29.99195657962515,0
mobile,firefox,organic,19.548340636350293,186.8902678051113,0
tablet,edge,organic,15.013384583002553,76.26918005189674,0
desktop,edge,social,5.819777013028704,218.83312350196417,0
mobile,firefox,paid,87.31025656089301,184.17164788568894,0
desktop,firefox,paid,28.894341796485367,225.18947758167653,0
desktop,chrome,paid,29.032060393356616,226.1739107190923,0
desktop,edge,paid,20.622813743015545,63.029168340030154,0
mobile,edge,email,47.5397371863883,5.199045198545845,0
desktop,chrome,email,51.42419679223724,112.8995715208576,0
mobile,edge,organic,20.828135862508002,276.12541865997014,0
desktop,safari,email,60.85703378636506,175.4803184675711,0
tablet,safari,paid,72.29999595937491,219.61309165938,0
tablet,safari,social,37.38400859654519,264.4732495694481,0
mobile,edge,organic,58.54516968574387,272.28718307878563,0
